Depth,Name,Statistic,#Cells
> > > ,"Specimen_001_500-616_2_018.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",32.2,2580
> > > ,"Specimen_001_500-616_2_018.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.1,8
,Specimen_001_500-616_3_019.fcs,,326370
> ,Specimen_001_500-616_3_019.fcs/live,67.3,219680
> > ,Specimen_001_500-616_3_019.fcs/live/BFP+,2.27,4987
> > > ,Specimen_001_500-616_3_019.fcs/live/BFP+,5806,
> > > ,Specimen_001_500-616_3_019.fcs/live/BFP+,472,
> > > ,Specimen_001_500-616_3_019.fcs/live/BFP+,8234,
> > > ,Specimen_001_500-616_3_019.fcs/live/BFP+,560,
> > > ,Specimen_001_500-616_3_019.fcs/live/BFP+,6115,
> > > ,Specimen_001_500-616_3_019.fcs/live/BFP+,443,
> > > ,"Specimen_001_500-616_3_019.fcs/live/BFP+/Q1: APC-A- , FITC-A+",0.16,8
> > > ,"Specimen_001_500-616_3_019.fcs/live/BFP+/Q2: APC-A+ , FITC-A+",57.1,2847
> > > ,"Specimen_001_500-616_3_019.fcs/live/BFP+/Q3: APC-A+ , FITC-A-",42.6,2122
> > > ,"Specimen_001_500-616_3_019.fcs/live/BFP+/Q4: APC-A- , FITC-A-",0.2,10
